PERSON_ID,SOURCE_PERIOD,YEAR,WEIGHT,AGE,SEX,LABOUR_STATUS,OUTCOME_STATUS,FULLTIME_PARTTIME,GROSS_WEEKLY_PAY,HOURLY_RATE,HOURPAY,HIGHEST_QUAL,HEALTH_LIMITATION,ETHNICITY,COUNTRY_NAME,COUNTRY_CODE,REGION_CODE,COMBINED_AUTHORITY,ITL2_CODE,ITL3_CODE
80.0,2019-2021,2020,0,74,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
81.0,2019-2021,2020,81,57,1,3,1,,,,,40.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
82.0,2019-2021,2020,72,57,2,1,1,2.0,250.0,13.0,10.87,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
83.0,2019-2021,2020,933,20,2,1,1,1.0,231.0,7.7,5.12,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
84.0,2019-2021,2020,403,33,2,1,1,1.0,369.0,9.7,7.77,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
85.0,2019-2021,2020,403,31,2,1,1,2.0,48.0,,8.0,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
86.0,2019-2021,2020,454,36,1,1,1,1.0,,,,30.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
87.0,2019-2021,2020,0,2,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
88.0,2019-2021,2020,0,0,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
89.0,2019-2021,2020,321,55,2,3,1,,,,,51.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
90.0,2019-2021,2020,0,51,1,1,2,1.0,673.0,,16.83,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
91.0,2019-2021,2020,0,78,2,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
92.0,2019-2021,2020,250,54,2,1,1,2.0,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
93.0,2019-2021,2020,263,31,2,1,1,1.0,358.0,8.75,7.16,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
94.0,2019-2021,2020,167,70,2,2,1,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
95.0,2019-2021,2020,218,64,1,1,1,1.0,615.0,,15.77,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
96.0,2019-2021,2020,167,67,2,3,1,,,,,38.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
97.0,2019-2021,2020,0,69,1,3,2,,,,,40.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
98.0,2019-2021,2021,349,55,2,1,1,2.0,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
99.0,2019-2021,2021,0,56,1,1,2,1.0,480.0,80.0,12.0,84.0,,4.0,1,E92000001,E12000009,-9,TLK3,TLK30
100.0,2019-2021,2021,0,28,1,1,2,2.0,46.0,80.0,5.11,66.0,,2.0,1,E92000001,E12000009,-9,TLK3,TLK30
101.0,2019-2021,2021,0,26,2,1,2,2.0,127.0,9.0,8.47,55.0,,2.0,1,E92000001,E12000009,-9,TLK3,TLK30
102.0,2019-2021,2021,367,48,2,1,1,1.0,,80.0,,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
103.0,2019-2021,2021,0,53,1,1,2,1.0,,,,83.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
104.0,2019-2021,2021,400,70,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
105.0,2019-2021,2021,0,73,1,1,2,2.0,127.0,8.5,8.47,48.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
106.0,2019-2021,2021,0,34,2,1,2,1.0,,80.0,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
107.0,2019-2021,2021,0,40,1,1,2,2.0,,80.0,,66.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
108.0,2019-2021,2021,0,6,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
109.0,2019-2021,2021,0,16,1,3,2,,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
110.0,2019-2021,2021,0,16,1,3,2,,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
111.0,2019-2021,2021,397,57,2,1,1,1.0,529.0,80.0,16.53,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
112.0,2019-2021,2021,494,87,2,3,7,,,,,,2.0,2.0,1,E92000001,E12000009,-9,TLK3,TLK30
113.0,2019-2021,2021,424,58,2,1,1,2.0,212.0,9.6,9.64,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
114.0,2019-2021,2021,0,35,2,1,2,2.0,,,,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
115.0,2019-2021,2019,545,68,1,3,1,,,,,1.0,1.0,,1,E92000001,E12000009,-9,TLK3,TLK30
116.0,2019-2021,2019,525,69,2,3,1,,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
